Datum,Senaste,Öppen,Högst,Lägst,Vol.,+/- %
2017-08-15,"2.464,61","2.468,66","2.468,90","2.461,61",0,"-0,05"
2017-08-14,"2.465,84","2.454,96","2.468,22","2.454,96",0,"1,00"
2017-08-11,"2.441,32","2.441,04","2.448,09","2.437,85",0,"0,13"
2017-08-10,"2.438,21","2.465,38","2.465,38","2.437,75",0,"-1,45"
2017-08-09,"2.474,02","2.465,35","2.474,41","2.462,08",0,"-0,04"
2017-08-08,"2.474,92","2.478,35","2.490,87","2.470,32",0,"-0,24"
2017-08-07,"2.480,91","2.477,14","2.480,95","2.475,88",0,"0,16"
2017-08-04,"2.476,83","2.476,88","2.480,00","2.472,08",0,"0,19"
2017-08-03,"2.472,16","2.476,03","2.476,03","2.468,85",0,"-0,22"
2017-08-02,"2.477,57","2.480,38","2.480,38","2.466,48",0,"0,05"
2017-08-01,"2.476,35","2.477,10","2.478,51","2.471,14",0,"0,24"
2017-07-31,"2.470,30","2.475,94","2.477,96","2.468,53",0,"-0,07"
2017-07-28,"2.472,10","2.469,12","2.473,53","2.464,66",0,"-0,13"
2017-07-27,"2.475,42","2.482,76","2.484,04","2.459,93",0,"-0,10"
2017-07-26,"2.477,83","2.479,97","2.481,69","2.474,94",0,"0,03"
2017-07-25,"2.477,13","2.477,88","2.481,24","2.474,91",0,"0,29"
2017-07-24,"2.469,91","2.472,04","2.473,10","2.466,32",0,"-0,11"
2017-07-21,"2.472,54","2.467,40","2.472,54","2.465,06",0,"-0,04"
2017-07-20,"2.473,45","2.475,56","2.477,62","2.468,43",0,"-0,02"
2017-07-19,"2.473,83","2.463,85","2.473,83","2.463,85",0,"0,54"
2017-07-18,"2.460,61","2.455,88","2.460,92","2.450,34",0,"0,06"
2017-07-17,"2.459,14","2.459,50","2.462,82","2.457,16",0,"-0,01"
2017-07-14,"2.459,27","2.449,16","2.463,54","2.446,69",0,"0,47"
2017-07-13,"2.447,83","2.444,99","2.449,32","2.441,69",0,"0,19"
2017-07-12,"2.443,25","2.435,75","2.445,76","2.435,75",0,"0,73"
2017-07-11,"2.425,53","2.427,35","2.429,30","2.412,79",0,"-0,08"
2017-07-10,"2.427,43","2.424,51","2.432,00","2.422,27",0,"0,09"
2017-07-07,"2.425,18","2.413,52","2.426,92","2.413,52",0,"0,64"
2017-07-06,"2.409,75","2.423,44","2.424,28","2.407,70",0,"-0,94"
2017-07-05,"2.432,54","2.430,78","2.434,90","2.422,05",0,"0,15"
2017-07-03,"2.429,01","2.431,39","2.439,17","2.428,69",0,"0,23"
2017-06-30,"2.423,41","2.429,20","2.432,71","2.421,65",0,"0,15"
2017-06-29,"2.419,70","2.442,38","2.442,73","2.405,70",0,"-0,86"
2017-06-28,"2.440,69","2.428,70","2.442,97","2.428,02",0,"0,88"
2017-06-27,"2.419,38","2.436,34","2.440,15","2.419,38",0,"-0,81"
2017-06-26,"2.439,07","2.443,32","2.450,42","2.437,03",0,"0,03"
2017-06-23,"2.438,30","2.434,65","2.441,40","2.431,11",0,"0,16"
2017-06-22,"2.434,50","2.437,40","2.441,62","2.433,27",0,"-0,05"
